Image_ID,Image_Name,Orig_Image_Name,URL_Image,URL_Info,Image_Details,Caption
1,image_0001,turi9088.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0,warfare world war ii mussolini on cover of la domenica dell agricoltore 20th c italian journalistic document italian anonymous mussolini on cover of la domenica dell agricoltore 1934 italian journalist,ITALIAN Anonymous | Mussolini on cover of 'La Domenica dell' Agricoltore'. | 1934 | Italian | Journalist
2,image_0002,euh07084.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=2,warfare world war ii mussolini mementos window messina 20th c italian applied arts fascist mussolini mementos window messina 20 c italian,FASCIST | Mussolini Mementos Window; Messina. | 20 c | Italian |
3,image_0003,wash0076.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=3,warfare world war ii youthful members of the balillas junior fascisti 20th c italian photography italian youthful members of the balillas junior fascisti c 19261937 italian,ITALIAN | Youthful members of the Balillas (Junior Fascisti). | c. 1926-1937 | Italian |
4,image_0004,ethi4030.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=4,warfare world war ii st george cathedral heili selassi and his army with a field gun 20th c ethiopian realist painting andelo alec st george cathedral heili selassi and his army with a field gun c 19501960 ethiopian realist,ANDELO Alec | St. George Cathedral. Heili Selassi and his army with a field gun. | c. 1950-1960 | Ethiopian | Realist
5,image_0005,war01047.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=5,warfare world war ii man in ruins 20th c german expressionist painting hoffer karl man in ruins 1937 german expressionist,HOFFER Karl | Man in Ruins. | 1937 | German | Expressionist
6,image_0006,20p06030.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=6,warfare world war ii gray day 20th c german expressionist painting grosz george gray day 1921 german expressionist,GROSZ George | Gray Day. | 1921 | German | Expressionist
7,image_0007,20p06029.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=7,warfare world war ii war amputee begging from war profiteers 20th c german expressionist graphic arts grosz george war amputee begging from war profiteers c 1923 german expressionist,GROSZ George | War Amputee Begging From War Profiteers. | c. 1923 | German | Expressionist
8,image_0008,euh07089.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=8,warfare world war ii even at play 10 20th c german expressionist graphic arts grosz george even at play 10 20 c german,GROSZ George | Even at Play. #10. | 20 c | German |
9,image_0009,20p06037.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=9,warfare world war ii a little child shall lead them 20th c german expressionist painting grosz george a little child shall lead them 1932 german expressionist,GROSZ George | A Little Child Shall Lead Them. | 1932 | German | Expressionist
10,image_0010,euh07029.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=10,warfare world war ii bolshevism brings war 20th c german graphic design engelhard julius bolshevism brings war 1919 german,ENGELHARD Julius | Bolshevism Brings War. | 1919 | German |
11,image_0011,euh07040.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=11,warfare world war ii the two are guilty  poster 20th c german social realist graphic design german the two are guiltyposter 1932 german social realist,GERMAN | The Two are Guilty.Poster. | 1932 | German | Social Realist
12,image_0012,euh07039.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=12,warfare world war ii we the workers are awakened nazi poster 20th c german graphic design nazi we the workers are awakened nazi poster 1932 german,Nazi | We The Workers are Awakened. Nazi poster. | 1932 | German |
13,image_0013,judw0132.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0&page=2,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=13,warfare world war ii hitler anointed german chancellor in potsdam march 21 1933 20th c german nazi photography nazi hitler anointed german chancellor in potsdam march 21 1933 1933 german nazi,NAZI | Hitler Anointed German Chancellor in Potsdam March 21 1933. | 1933 | German | Nazi
14,image_0014,judw0140.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0&page=2,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=14,warfare world war ii hitler at a nazi rally 20th c german nazi photography nazi hitler at a nazi rally c 19351940 german nazi,NAZI | Hitler at a Nazi rally. | c. 1935-1940 | German | Nazi
15,image_0015,euh07043.png,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0&page=2,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=15,warfare world war ii adolph hitler 20th c german graphic arts erler fritz adolph hitler c 1930 german,ERLER Fritz | Adolph Hitler. | c. 1930 | German |
