Image_Name,Orig_Image_Name,Category,Alt,Type,Caption,URL_Image,URL_Info
image_0001,turi9088.png,Warfare: World War II,Mussolini on cover of 'La Domenica dell' Agricoltore'.,20th c Italian Journalistic Document,ITALIAN Anonymous | Mussolini on cover of 'La Domenica dell' Agricoltore'. | 1934 | Italian | Journalist,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0
image_0002,euh07084.png,Warfare: World War II,Mussolini Mementos Window; Messina.,20th c Italian Applied Arts,FASCIST | Mussolini Mementos Window; Messina. | 20 c | Italian |,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=2
image_0003,wash0076.png,Warfare: World War II,Youthful members of the Balillas (Junior Fascisti).,20th c Italian Photography,ITALIAN | Youthful members of the Balillas (Junior Fascisti). | c. 1926-1937 | Italian |,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=3
image_0004,ethi4030.png,Warfare: World War II,St. George Cathedral. Heili Selassi and his army with a field gun.,20th c Ethiopian Realist Painting,ANDELO Alec | St. George Cathedral. Heili Selassi and his army with a field gun. | c. 1950-1960 | Ethiopian | Realist,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=4
image_0005,war01047.png,Warfare: World War II,Man in Ruins.,20th c German Expressionist Painting,HOFFER Karl | Man in Ruins. | 1937 | German | Expressionist,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=5
image_0006,20p06030.png,Warfare: World War II,Gray Day.,20th c German Expressionist Painting,GROSZ George | Gray Day. | 1921 | German | Expressionist,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=6
image_0007,20p06029.png,Warfare: World War II,War Amputee Begging From War Profiteers.,20th c German Expressionist Graphic Arts,GROSZ George | War Amputee Begging From War Profiteers. | c. 1923 | German | Expressionist,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=7
image_0008,euh07089.png,Warfare: World War II,Even at Play. #10.,20th c German Expressionist Graphic Arts,GROSZ George | Even at Play. #10. | 20 c | German |,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=8
image_0009,20p06037.png,Warfare: World War II,A Little Child Shall Lead Them.,20th c German Expressionist Painting,GROSZ George | A Little Child Shall Lead Them. | 1932 | German | Expressionist,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=9
image_0010,euh07029.png,Warfare: World War II,Bolshevism Brings War.,20th c German Graphic Design,ENGELHARD Julius | Bolshevism Brings War. | 1919 | German |,http://worldimages.sjsu.edu/objects-1/portfolio?records=12&query=Portfolios%20%3D%20%22287%22&sort=0,http://worldimages.sjsu.edu/objects-1/info?query=Portfolios%20%3D%20%22287%22&sort=0&page=10
